continent,year,avg_stringency_index
Africa,2020,47.6765240437168
Africa,2021,45.5926268493149
Africa,2022,26.8446147945219
Asia,2020,52.9531705615626
Asia,2021,57.0443485864175
Asia,2022,30.1107735354109
Europe,2020,47.4331184798822
Europe,2021,50.7122011207948
Europe,2022,19.2282976338706
North America,2020,53.2700617723925
North America,2021,54.4139857057781
North America,2022,25.9492531268613
Oceania,2020,41.0117213114758
Oceania,2021,45.7768858447498
Oceania,2022,33.6861217656014
South America,2020,61.8270901639337
South America,2021,60.7021872146112
South America,2022,24.8013470319635
