country,people_fully_vaccinated_per_hundred,total_deaths_per_million
Afghanistan,45.270844,196.48167
Albania,45.24426,1274.5729
Algeria,14.251447,151.23999
Andorra,67.10946,1994.4307
Angola,26.965265,54.35663
Anguilla,73.10238,844.9514
Antigua and Barbuda,67.187935,1561.6586
Argentina,76.860214,2874.5437
Armenia,35.779274,3038.3079
Aruba,78.26926,2708.921
Australia,82.62102,387.38998
Austria,73.72863,2485.9128
Azerbaijan,47.230198,952.3757
Bahamas,42.0011,2123.0461
Bahrain,80.00182,1001.6564
Bangladesh,83.95181,174.14777
Barbados,54.91811,2100.4236
Belarus,69.931625,775.95264
Belgium,78.77591,2949.6262
Belize,54.992664,1708.294
Benin,19.934122,11.8463545
Bermuda,73.576546,2161.4277
Bhutan,86.778175,26.891325
Bolivia,51.01023,1841.2448
Bonaire Sint Eustatius and Saba,58.407204,593.2854
Bosnia and Herzegovina,26.400383,4465.1743
Botswana,68.17876,1147.5903
Brazil,83.76549,3328.082
British Virgin Islands,47.621655,1669.0137
Brunei,98.09827,353.55554
Bulgaria,30.443129,5668.295
Burkina Faso,23.245539,17.592934
Burundi,0.27265763,1.126033
Cambodia,85.417465,177.65665
Cameroon,11.570632,71.43692
Canada,81.80634,1279.2733
Cape Verde,59.39779,788.84076
Cayman Islands,84.75911,516.6876
Central African Republic,48.74395,22.16539
Chad,27.202782,10.511874
Chile,90.523636,3268.7512
China,90.12756,84.84405
Colombia,71.90879,2758.6523
Comoros,47.60061,191.8026
Congo,10.838571,63.95913
Cook Islands,99.87116,135.6208
Costa Rica,85.98951,1843.0608
Croatia,57.63479,4742.4756
Cuba,90.90253,771.26013
Curacao,54.42946,1629.3499
Cyprus,69.774,1450.4836
Czechia,64.60811,4076.4658
Democratic Republic of Congo,14.062447,14.336361
Denmark,79.82519,1494.8582
Djibouti,35.28341,166.21214
Dominica,45.864437,1107.0055
Dominican Republic,54.586662,390.3574
East Timor,58.552513,100.781494
Ecuador,79.94636,2021.1064
Egypt,37.59353,220.47935
El Salvador,70.025406,673.53296
Equatorial Guinea,11.867269,101.466606
Estonia,63.90219,2225.7727
Eswatini,35.058464,1170.7075
Ethiopia,34.815372,60.406296
Falkland Islands,50.497868,0
Faroe Islands,75.67683,444.1237
Fiji,69.73836,960.3797
Finland,78.054924,2053.9385
France,80.257324,2613.4375
French Polynesia,66.62304,2314.6497
Gabon,10.592245,125.88707
Gambia,20.451042,141.09766
Georgia,33.62968,4445.0513
Germany,75.596375,2080.9473
Ghana,32.519695,44.10369
Gibraltar,110.18841,2923.1218
Greece,73.44144,3753.092
Greenland,68.75246,357.0536
Grenada,33.38294,2035.4407
Guatemala,39.953743,1131.8433
Guernsey,82.68235,925.4902
Guinea,41.650185,33.297436
Guinea-Bissau,26.0094,84.06415
Guyana,46.797615,1580.9883
Haiti,3.1845589,74.759186
Honduras,55.94186,1062.1299
Hungary,64.090385,4986.1074
Iceland,78.32783,489.00012
India,66.78652,374.3653
Indonesia,62.749634,580.704
Iran,65.44067,1638.718
Iraq,18.0274,575.78125
Ireland,79.5611,1868.6833
Isle of Man,79.74759,1283.453
Israel,70.14864,1395.8915
Italy,83.00122,3265.9832
Jamaica,26.796753,1267.6329
Japan,82.76578,597.56354
Jersey,79.11839,1517.0109
Jordan,40.495773,1253.0795
Kazakhstan,53.0535,951.5532
Kenya,20.442282,104.84318
Kiribati,62.44032,137.949
Kosovo,48.027126,1859.1926
Kuwait,72.90916,559.97217
Kyrgyzstan,20.2136,147.21544
Laos,69.08865,88.768265
Latvia,69.4277,3456.5635
Lebanon,42.026745,1870.1393
Lesotho,41.03421,308.82126
Liberia,69.43534,54.71501
Libya,17.111511,891.0818
Lithuania,66.77875,3482.5232
Luxembourg,5.796285,795.9407
Madagascar,8.636944,46.817616
Malawi,20.847246,130.58656
Malaysia,79.40842,1076.5375
Maldives,73.488884,601.01196
Mali,15.748474,32.20264
Malta,89.27875,1700.1329
Mauritania,31.597816,204.48581
Mauritius,85.26863,825.14844
Mexico,63.640446,2571.5806
Moldova,35.492302,4003.3079
Monaco,65.8973,949.9358
Mongolia,64.53846,630.83
Montenegro,46.346615,4215.414
Montserrat,43.610367,1787.31
Morocco,63.012527,436.57666
Mozambique,65.31598,68.68518
Myanmar,66.85257,362.63324
Namibia,19.067173,1418.8481
Nauru,95.97361,84.58806
Nepal,82.35129,404.87375
Netherlands,65.73038,1283.817
New Caledonia,64.36666,1093.5813
New Zealand,83.63098,529.2561
Nicaragua,91.026825,36.40058
Niger,21.661686,12.444701
Nigeria,36.431763,14.138414
Niue,88.66595,0
North Macedonia,45.547474,5400.9375
Norway,74.42668,1050.4332
Oman,64.45409,978.3881
Pakistan,57.64279,125.79366
Palestine,33.49446,1075.9105
Panama,72.23046,1966.4718
Papua New Guinea,3.1479607,65.665825
Paraguay,52.521175,2940.6284
Peru,85.76331,6587.3975
Philippines,68.83203,581.5152
Poland,59.15184,3130.3035
Portugal,85.53044,2640.0889
Qatar,98.60714,238.55077
Romania,42.337685,3428.1196
Russia,54.74822,2745.2212
Rwanda,76.182304,107.53771
Saint Helena,65.76643,0
Saint Kitts and Nevis,57.776257,984.33624
Saint Lucia,30.74544,2281.9558
Saint Vincent and the Grenadines,30.992622,1214.9359
Samoa,82.66549,144.0052
San Marino,69.27857,3371.149
Sao Tome and Principe,49.482796,353.49274
Saudi Arabia,79.047905,299.67038
Senegal,8.77376,111.66444
Serbia,48.271156,2373.3604
Seychelles,66.56815,1370.1576
Sierra Leone,59.949265,15.102439
Singapore,92.89906,332.57297
Sint Maarten (Dutch part),63.498802,2182.0078
Slovakia,51.00697,3873.6057
Slovenia,57.782104,3707.8691
Solomon Islands,32.56435,195.88388
Somalia,43.06752,76.45254
South Africa,33.727688,1644.7195
South Korea,85.64171,602.0179
South Sudan,38.773117,12.521351
Spain,85.17771,2539.245
Sri Lanka,64.60631,734.7942
Sudan,27.167852,101.9372
Suriname,38.172287,2148.6846
Sweden,72.40806,2271.4065
Syria,10.499275,140.81453
Tajikistan,50.99001,12.276292
Tanzania,49.706203,13.073345
Thailand,74.56032,456.73456
Togo,17.09692,31.904097
Tokelau,95.28547,0
Tonga,73.66758,114.22806
Trinidad and Tobago,48.061897,2934.643
Tunisia,52.823357,2427.773
Turkey,61.081894,1164.9528
Turkmenistan,63.19193,0
Turks and Caicos Islands,66.95154,784.8438
Tuvalu,94.93607,0
Uganda,27.605951,76.76583
Ukraine,38.347157,2677.7417
United Arab Emirates,95.60813,225.44238
United Kingdom,74.43005,3037.8423
United States,67.52983,3294.5735
Uruguay,85.616646,2248.657
Uzbekistan,52.81149,29.079292
Vanuatu,51.82696,44.71972
Venezuela,53.048817,206.465
Vietnam,86.23695,433.44418
Wallis and Futuna,59.15138,608.6427
Yemen,2.1114502,56.484497
Zambia,45.719406,201.36024
Zimbabwe,35.236153,356.6481
